Observation,TextUrn,Image,Comments
urn:cite:op:164rS.01,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ζ,"urn:cite:hmt:vaimg.VA164RN-0335@0.1932,0.0958,0.0126,0.0163",
urn:cite:op:164rS.02,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ε,"urn:cite:hmt:vaimg.VA164RN-0335@0.2022,0.0973,0.0086,0.0102",
urn:cite:op:164rS.03,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@υ,"urn:cite:hmt:vaimg.VA164RN-0335@0.2078,0.098,0.0096,0.0068",
urn:cite:op:164rS.04,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@σ,"urn:cite:hmt:vaimg.VA164RN-0335@0.2158,0.0992,0.006,0.0057",
urn:cite:op:164rS.05,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@δ,"urn:cite:hmt:vaimg.VA164RN-0335@0.2218,0.0988,0.0111,0.0076",
urn:cite:op:164rS.06,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ε[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.2344,0.0984,0.006,0.0068",
urn:cite:op:164rS.07,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@π,"urn:cite:hmt:vaimg.VA164RN-0335@0.2395,0.098,0.0081,0.0079",
urn:cite:op:164rS.08,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@3[3],"urn:cite:hmt:vaimg.VA164RN-0335@0.247,0.0969,0.0055,0.0079",
urn:cite:op:164rS.09,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ι,"urn:cite:hmt:vaimg.VA164RN-0335@0.25,0.0962,0.0081,0.0087",
urn:cite:op:164rS.10,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ο,"urn:cite:hmt:vaimg.VA164RN-0335@0.2541,0.0984,0.0086,0.0064",
urn:cite:op:164rS.11 urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@υ[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.2601,0.0973,0.0065,0.0083",
urn:cite:op:164rS.12,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ν,"urn:cite:hmt:vaimg.VA164RN-0335@0.2677,0.0973,0.0065,0.0083",
urn:cite:op:164rS.13,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@τ,"urn:cite:hmt:vaimg.VA164RN-0335@0.2787,0.0977,0.0065,0.0083",
urn:cite:op:164rS.14,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ρ,"urn:cite:hmt:vaimg.VA164RN-0335@0.2838,0.0977,0.0065,0.0083",
urn:cite:op:164rS.15,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ω,"urn:cite:hmt:vaimg.VA164RN-0335@0.2913,0.0977,0.0065,0.0083",
urn:cite:op:164rS.16,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@α,"urn:cite:hmt:vaimg.VA164RN-0335@0.3009,0.0973,0.0065,0.0083",
urn:cite:op:164rS.17,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@σ [2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3064,0.0977,0.0065,0.0083",
urn:cite:op:164rS.18,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@τ[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3145,0.0973,0.0065,0.0083",
urn:cite:op:164rS.19,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ε[4],"urn:cite:hmt:vaimg.VA164RN-0335@0.3185,0.0973,0.0101,0.0068",
urn:cite:op:164rS.20,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@κ,"urn:cite:hmt:vaimg.VA164RN-0335@0.3255,0.0977,0.0101,0.0068",
urn:cite:op:164rS.21,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@α[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3361,0.0973,0.007,0.0083",
urn:cite:op:164rS.22,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ι[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3426,0.0992,0.005,0.0057",
urn:cite:op:164rS.23,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ε[5],"urn:cite:hmt:vaimg.VA164RN-0335@0.3482,0.098,0.0101,0.0095",
urn:cite:op:164rS.24,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@κ[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3547,0.0969,0.0111,0.0095",
urn:cite:op:164rS.25,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@τ[3],"urn:cite:hmt:vaimg.VA164RN-0335@0.3648,0.0939,0.0121,0.0129",
urn:cite:op:164rS.26,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@o[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3718,0.1003,0.0055,0.0057",
urn:cite:op:164rS.27,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@ρ[2],"urn:cite:hmt:vaimg.VA164RN-0335@0.3759,0.0999,0.0086,0.0102",
urn:cite:op:164rS.28,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@α[3],"urn:cite:hmt:vaimg.VA164RN-0335@0.3814,0.0973,0.0086,0.0102",
urn:cite:op:164rS.29,urn:cts:greekLit:tlg5026.msA:hmt:13.164r1@κ[3],"urn:cite:hmt:vaimg.VA164RN-0335@0.4141,0.0992,0.0111,0.0079",
