Observation,TextUrn,Image,Comments
urn:cite:op:168r.01,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ε,"urn:cite:hmt:vaimg.VA168RN-0339@0.179,0.2059,0.016,0.021",
urn:cite:op:168r.02,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@κ,"urn:cite:hmt:vaimg.VA168RN-0339@0.2,0.2126,0.014,0.0135",
urn:cite:op:168r.03,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@τ,"urn:cite:hmt:vaimg.VA168RN-0339@0.216,0.2149,0.011,0.012",
urn:cite:op:168r.04,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ο,"urn:cite:hmt:vaimg.VA168RN-0339@0.223,0.2149,0.011,0.012",
urn:cite:op:168r.05,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ρ,"urn:cite:hmt:vaimg.VA168RN-0339@0.231,0.2179,0.011,0.012",
urn:cite:op:168r.06,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ι,"urn:cite:hmt:vaimg.VA168RN-0339@0.241,0.2149,0.008,0.0128",
urn:cite:op:168r.07,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@δ,"urn:cite:hmt:vaimg.VA168RN-0339@0.251,0.2111,0.015,0.0135",
urn:cite:op:168r.08,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ε[2],"urn:cite:hmt:vaimg.VA168RN-0339@0.265,0.2111,0.015,0.0128",
urn:cite:op:168r.09,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@π,"urn:cite:hmt:vaimg.VA168RN-0339@0.28,0.2126,0.015,0.0135",
urn:cite:op:168r.10,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ρ[2],"urn:cite:hmt:vaimg.VA168RN-0339@0.294,0.2164,0.012,0.012",
urn:cite:op:168r.11,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ο[2],"urn:cite:hmt:vaimg.VA168RN-0339@0.304,0.2149,0.012,0.012",
urn:cite:op:168r.12,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@π[2],"urn:cite:hmt:vaimg.VA168RN-0339@0.316,0.2149,0.013,0.012",
urn:cite:op:168r.13,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@α,"urn:cite:hmt:vaimg.VA168RN-0339@0.327,0.2149,0.013,0.012",
urn:cite:op:168r.14,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ρ[3],"urn:cite:hmt:vaimg.VA168RN-0339@0.339,0.2164,0.011,0.0113",
urn:cite:op:168r.15,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ο[3],"urn:cite:hmt:vaimg.VA168RN-0339@0.348,0.2141,0.011,0.0113",
urn:cite:op:168r.16,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ι[2],"urn:cite:hmt:vaimg.VA168RN-0339@0.356,0.2164,0.01,0.009",
urn:cite:op:168r.17,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@θ,"urn:cite:hmt:vaimg.VA168RN-0339@0.365,0.2156,0.015,0.0098",
urn:cite:op:168r.18,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ε[3],"urn:cite:hmt:vaimg.VA168RN-0339@0.376,0.2156,0.014,0.0098",
urn:cite:op:168r.19,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@π[3],"urn:cite:hmt:vaimg.VA168RN-0339@0.39,0.2156,0.014,0.0105",
urn:cite:op:168r.20,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ο[4],"urn:cite:hmt:vaimg.VA168RN-0339@0.401,0.2156,0.011,0.009",
urn:cite:op:168r.21,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@δ[2],"urn:cite:hmt:vaimg.VA168RN-0339@0.408,0.2104,0.014,0.0143",
urn:cite:op:168r.22,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ω,"urn:cite:hmt:vaimg.VA168RN-0339@0.422,0.2141,0.013,0.0113",
urn:cite:op:168r.23,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ν,"urn:cite:hmt:vaimg.VA168RN-0339@0.435,0.2171,0.013,0.0113",
urn:cite:op:168r.24,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@π[4],"urn:cite:hmt:vaimg.VA168RN-0339@0.45,0.2164,0.013,0.0113",
urn:cite:op:168r.25,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@εσ,"urn:cite:hmt:vaimg.VA168RN-0339@0.463,0.2119,0.015,0.0165",εσ ligature
urn:cite:op:168r.26,urn:cts:greekLit:tlg0012.tlg001.msA:13.205@ε[4],"urn:cite:hmt:vaimg.VA168RN-0339@0.475,0.2111,0.013,0.0128",
