Observation,TextUrn,Image,Comments
urn:cite:op:leiden0.110, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ἀ, "urn:cite:hmt:vaimg.VA164VN-0666@0.2363,0.1114,0.0129,0.0105",
urn:cite:op:leiden0.111, urn:cts:greekLit:tlg5026.msA:hmt:13.26@τ, "urn:cite:hmt:vaimg.VA164VN-0666@0.2487,0.1131,0.0067,0.0076",
urn:cite:op:leiden0.112, urn:cts:greekLit:tlg5026.msA:hmt:13.26@α[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.2546,0.1135,0.0063,0.0072",
urn:cite:op:leiden0.113, urn:cts:greekLit:tlg5026.msA:hmt:13.26@λλ, "urn:cite:hmt:vaimg.VA164VN-0666@0.2584,0.1137,0.011,0.0064",
urn:cite:op:leiden0.114, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ε, "urn:cite:hmt:vaimg.VA164VN-0666@0.2686,0.1129,0.0063,0.0068",
urn:cite:op:leiden0.115, urn:cts:greekLit:tlg5026.msA:hmt:13.26@εἰ, "urn:cite:hmt:vaimg.VA164VN-0666@0.2818,0.1111,0.008,0.0114", ει-ligature
urn:cite:op:leiden0.116, urn:cts:greekLit:tlg5026.msA:hmt:13.26@σ, "urn:cite:hmt:vaimg.VA164VN-0666@0.289,0.114,0.0047,0.0064",
urn:cite:op:leiden0.117, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ε[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.2956,0.1129,0.0055,0.0066",
urn:cite:op:leiden0.118, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ν, "urn:cite:hmt:vaimg.VA164VN-0666@0.3011,0.1142,0.0055,0.007",
urn:cite:op:leiden0.119, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ο, "urn:cite:hmt:vaimg.VA164VN-0666@0.3071,0.1146,0.0044,0.005",
urn:cite:op:leiden0.120, urn:cts:greekLit:tlg5026.msA:hmt:13.26@τ[2],"urn:cite:hmt:vaimg.VA164VN-0666@0.3112,0.1148,0.0077,0.0058",
urn:cite:op:leiden0.121, urn:cts:greekLit:tlg5026.msA:hmt:13.26@η, "urn:cite:hmt:vaimg.VA164VN-0666@0.3181,0.114,0.0069,0.0068",
urn:cite:op:leiden0.122, urn:cts:greekLit:tlg5026.msA:hmt:13.26@τ[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.3247,0.1148,0.0055,0.007",
urn:cite:op:leiden0.123, urn:cts:greekLit:tlg5026.msA:hmt:13.26@α[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.3299,0.1148,0.0069,0.0058",
urn:cite:op:leiden0.124, urn:cts:greekLit:tlg5026.msA:hmt:13.26@κ, "urn:cite:hmt:vaimg.VA164VN-0666@0.3398,0.1117,0.0096,0.0091",
urn:cite:op:leiden0.125, urn:cts:greekLit:tlg5026.msA:hmt:13.26@α[4], "urn:cite:hmt:vaimg.VA164VN-0666@0.3492,0.116,0.0044,0.0035",
urn:cite:op:leiden0.126, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ι, "urn:cite:hmt:vaimg.VA164VN-0666@0.3525,0.1156,0.0044,0.0054",
urn:cite:op:leiden0.127, urn:cts:greekLit:tlg5026.msA:hmt:13.26@δ, "urn:cite:hmt:vaimg.VA164VN-0666@0.3561,0.1106,0.0069,0.0105",
urn:cite:op:leiden0.128, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ι[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.3616,0.1152,0.0063,0.0072",
urn:cite:op:leiden0.129, urn:cts:greekLit:tlg5026.msA:hmt:13.26@α[5], "urn:cite:hmt:vaimg.VA164VN-0666@0.3676,0.114,0.008,0.0085",
urn:cite:op:leiden0.130, urn:cts:greekLit:tlg5026.msA:hmt:13.26@θ, "urn:cite:hmt:vaimg.VA164VN-0666@0.3748,0.1148,0.0044,0.0058",
urn:cite:op:leiden0.131, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ε[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.3783,0.1146,0.0061,0.0066",
urn:cite:op:leiden0.132, urn:cts:greekLit:tlg5026.msA:hmt:13.26@σ[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.3827,0.1166,0.0039,0.0039",
urn:cite:op:leiden0.133, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ι[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.3849,0.1142,0.0063,0.0072",
urn:cite:op:leiden0.134, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ν[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.3902,0.1146,0.0066,0.007",
urn:cite:op:leiden0.135, urn:cts:greekLit:tlg5026.msA:hmt:13.26@εγ, "urn:cite:hmt:vaimg.VA164VN-0666@0.3979,0.1131,0.008,0.0107", εγ-ligature
urn:cite:op:leiden0.136, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ι[4], "urn:cite:hmt:vaimg.VA164VN-0666@0.4056,0.1156,0.0058,0.0058",
urn:cite:op:leiden0.137, urn:cts:greekLit:tlg5026.msA:hmt:13.26@ν[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.4124,0.1156,0.0061,0.0066",
