Observation,TextUrn,Image,Comments
urn:cite:op:165rS.01,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ε,"urn:cite:hmt:vaimg.VA165RN-0336@0.208,0.0848,0.018,0.0225",
urn:cite:op:165rS.02,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ξ,"urn:cite:hmt:vaimg.VA165RN-0336@0.2202,0.0918,0.0115,0.0152", 
urn:cite:op:165rS.03,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ο,"urn:cite:hmt:vaimg.VA165RN-0336@0.2306,0.0944,0.0063,0.0108",
urn:cite:op:165rS.04,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@υ,"urn:cite:hmt:vaimg.VA165RN-0336@0.2346,0.0944,0.0081,0.0108",
urn:cite:op:165rS.05,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@σ,"urn:cite:hmt:vaimg.VA165RN-0336@0.2346,0.0944,0.0081,0.0108",
urn:cite:op:165rS.06,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ι,"urn:cite:hmt:vaimg.VA165RN-0336@0.245,0.0944,0.0063,0.0108",
urn:cite:op:165rS.07,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ν,"urn:cite:hmt:vaimg.VA165RN-0336@0.2479,0.0957,0.0092,0.0095",
urn:cite:op:165rS.08,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@γ,"urn:cite:hmt:vaimg.VA165RN-0336@0.2554,0.0948,0.0092,0.0095",
urn:cite:op:165rS.09,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@α,"urn:cite:hmt:vaimg.VA165RN-0336@0.2606,0.0953,0.0081,0.0095",
urn:cite:op:165rS.10,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ρ,"urn:cite:hmt:vaimg.VA165RN-0336@0.2663,0.0965,0.0081,0.0095",
urn:cite:op:165rS.11,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@α[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.2859,0.0961,0.0081,0.0095",
urn:cite:op:165rS.12,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ρ[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.2912,0.0967,0.0084,0.0089",
urn:cite:op:165rS.13,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ι[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.2989,0.0994,0.0071,0.0056",
urn:cite:op:165rS.14,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@στο,"urn:cite:hmt:vaimg.VA165RN-0336@0.306,0.0984,0.0116,0.006",ligature στο
urn:cite:op:165rS.15,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@φ,"urn:cite:hmt:vaimg.VA165RN-0336@0.3169,0.0943,0.009,0.0135",
urn:cite:op:165rS.16,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@α[3],"urn:cite:hmt:vaimg.VA165RN-0336@0.3247,0.0989,0.0084,0.0051",
urn:cite:op:165rS.17,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ν[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.3308,0.0989,0.0087,0.0041",
urn:cite:op:165rS.18,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@σχ,"urn:cite:hmt:vaimg.VA165RN-0336@0.3382,0.0991,0.0135,0.0082",ligature σχ
urn:cite:op:165rS.19,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@η,"urn:cite:hmt:vaimg.VA165RN-0336@0.3504,0.096,0.0077,0.0087",
urn:cite:op:165rS.20,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@σ[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.3604,0.0989,0.0058,0.0068",
urn:cite:op:165rS.21,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ο[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.3659,0.0991,0.0048,0.0063",
urn:cite:op:165rS.22,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@υ[2],"urn:cite:hmt:vaimg.VA165RN-0336@0.3697,0.0989,0.0071,0.0058",
urn:cite:op:165rS.23,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@σ[3],"urn:cite:hmt:vaimg.VA165RN-0336@0.3743,0.1001,0.0077,0.0044",
urn:cite:op:165rS.24,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ι[3],"urn:cite:hmt:vaimg.VA165RN-0336@0.3794,0.0979,0.0068,0.0077",
urn:cite:op:165rS.25,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ν[3],"urn:cite:hmt:vaimg.VA165RN-0336@0.3849,0.0977,0.0068,0.0085", 
urn:cite:op:165rS.26,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@ο[3],"urn:cite:hmt:vaimg.VA165RN-0336@0.3945,0.0999,0.0068,0.0053",
urn:cite:op:165rS.27,urn:cts:greekLit:tlg5026.msA:hmt:13.165r1@μ,"urn:cite:hmt:vaimg.VA165RN-0336@0.4016,0.1001,0.0087,0.0073",
