Observation,TextUrn,Image,Comments
urn:cite:op:leiden0.36,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@χ, "urn:cite:hmt:vaimg.VA164VN-0666@0.4793,0.229,0.0175,0.0152",
urn:cite:op:leiden0.37,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ρ, "urn:cite:hmt:vaimg.VA164VN-0666@0.4972,0.2282,0.0136,0.0152",
urn:cite:op:leiden0.38,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@υ, "urn:cite:hmt:vaimg.VA164VN-0666@0.5116,0.2268,0.0123,0.0149",
urn:cite:op:leiden0.39,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@σ, "urn:cite:hmt:vaimg.VA164VN-0666@0.5212,0.2257,0.0158,0.0149",
urn:cite:op:leiden0.40,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ε, "urn:cite:hmt:vaimg.VA164VN-0666@0.5335,0.2289,0.0123,0.0097",
urn:cite:op:leiden0.41,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ι, "urn:cite:hmt:vaimg.VA164VN-0666@0.5446,0.2289,0.0076,0.0097",
urn:cite:op:leiden0.42,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@η, "urn:cite:hmt:vaimg.VA164VN-0666@0.5562,0.2236,0.0116,0.0126",
urn:cite:op:leiden0.43,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ν, "urn:cite:hmt:vaimg.VA164VN-0666@0.5676,0.2268,0.0116,0.01",
urn:cite:op:leiden0.44,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ε[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.5862,0.226,0.0133,0.0119",
urn:cite:op:leiden0.45,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@υ[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.5993,0.2289,0.012,0.0105",
urn:cite:op:leiden0.46,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@τ, "urn:cite:hmt:vaimg.VA164VN-0666@0.6096,0.2293,0.012,0.0105",
urn:cite:op:leiden0.47,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@υ[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.6194,0.2285,0.012,0.0105",
urn:cite:op:leiden0.48,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@κ, "urn:cite:hmt:vaimg.VA164VN-0666@0.6319,0.2258,0.0131,0.0134",
urn:cite:op:leiden0.49,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@τ[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.6457,0.2294,0.0131,0.0102",
urn:cite:op:leiden0.50,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ο, "urn:cite:hmt:vaimg.VA164VN-0666@0.6566,0.2303,0.009,0.0076",
urn:cite:op:leiden0.51,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ν, "urn:cite:hmt:vaimg.VA164VN-0666@0.6645,0.2304,0.0094,0.0087",
urn:cite:op:leiden0.52,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ε[3], "urn:cite:hmt:vaimg.VA164VN-0666@0.6827,0.2276,0.0122,0.0112",
urn:cite:op:leiden0.53,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@ο[2], "urn:cite:hmt:vaimg.VA164VN-0666@0.6943,0.2309,0.0109,0.0083",
urn:cite:op:leiden0.54,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@υ[4], "urn:cite:hmt:vaimg.VA164VN-0666@0.7047,0.2308,0.0109,0.0083",
urn:cite:op:leiden0.55,urn:cts:greekLit:tlg0012.tlg001.msA:13.26@δ, "urn:cite:hmt:vaimg.VA164VN-0666@0.7159,0.224,0.0201,0.0159",
