Observation,TextUrn,Image,Comments
urn:cite:op:team4.1,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@π,"urn:cite:hmt:vaimg.VA167RN-0338@0.196,0.2156,0.028,0.0188",
urn:cite:op:team4.2,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@α,"urn:cite:hmt:vaimg.VA167RN-0338@0.221,0.2194,0.015,0.0113",
urn:cite:op:team4.3,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ρ,"urn:cite:hmt:vaimg.VA167RN-0338@0.231,0.2179,0.013,0.015",
urn:cite:op:team4.4,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@μ,"urn:cite:hmt:vaimg.VA167RN-0338@0.245,0.2201,0.018,0.0128",
urn:cite:op:team4.5,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ε,"urn:cite:hmt:vaimg.VA167RN-0338@0.263,0.2156,0.014,0.0158",
urn:cite:op:team4.6,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ν,"urn:cite:hmt:vaimg.VA167RN-0338@0.275,0.2201,0.015,0.0128",
urn:cite:op:team4.7,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ετ,"urn:cite:hmt:vaimg.VA167RN-0338@0.29,0.2171,0.018,0.0158",ligature
urn:cite:op:team4.8,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ο,"urn:cite:hmt:vaimg.VA167RN-0338@0.3163,0.2191,0.0118,0.0119",
urn:cite:op:team4.9,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@υ,"urn:cite:hmt:vaimg.VA167RN-0338@0.327,0.2211,0.014,0.0094",
urn:cite:op:team4.10,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@τ,"urn:cite:hmt:vaimg.VA167RN-0338@0.3377,0.2208,0.0114,0.0102",
urn:cite:op:team4.11,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ο[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.3473,0.2222,0.0066,0.0078",
urn:cite:op:team4.12,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ι,"urn:cite:hmt:vaimg.VA167RN-0338@0.3546,0.2216,0.0074,0.0091",
urn:cite:op:team4.13,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@δ,"urn:cite:hmt:vaimg.VA167RN-0338@0.3602,0.2147,0.0221,0.0177",
urn:cite:op:team4.14,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@η,"urn:cite:hmt:vaimg.VA167RN-0338@0.3808,0.2216,0.0096,0.0102",
urn:cite:op:team4.15,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ρ[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.3893,0.2197,0.0114,0.0163",
urn:cite:op:team4.16,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ο[3],"urn:cite:hmt:vaimg.VA167RN-0338@0.4015,0.2222,0.0081,0.0097",
urn:cite:op:team4.17,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ν[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.4085,0.2227,0.0144,0.01",
urn:cite:op:team4.18,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ε[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.4254,0.2183,0.0136,0.0147",
urn:cite:op:team4.19,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@μ[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.4358,0.2227,0.0184,0.013",
urn:cite:op:team4.20,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ε[3],"urn:cite:hmt:vaimg.VA167RN-0338@0.4505,0.2211,0.0166,0.0125",
urn:cite:op:team4.21,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@σ,"urn:cite:hmt:vaimg.VA167RN-0338@0.4656,0.2238,0.0136,0.0097",
urn:cite:op:team4.22,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@χ,"urn:cite:hmt:vaimg.VA167RN-0338@0.4726,0.2247,0.0173,0.0144",
urn:cite:op:team4.23,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@η[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.4848,0.2227,0.0155,0.0111",
urn:cite:op:team4.24,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@σ[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.4984,0.2266,0.0129,0.008",
urn:cite:op:team4.25,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ο[4],"urn:cite:hmt:vaimg.VA167RN-0338@0.508,0.2272,0.01,0.0078",
urn:cite:op:team4.26,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@υσ,"urn:cite:hmt:vaimg.VA167RN-0338@0.518,0.2258,0.0173,0.0097",ligature
urn:cite:op:team4.27,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ι[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.5335,0.2258,0.0081,0.0097",
urn:cite:op:team4.28,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ν[3],"urn:cite:hmt:vaimg.VA167RN-0338@0.5423,0.2266,0.0107,0.0097",
urn:cite:op:team4.29,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@α[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.5537,0.2266,0.0107,0.0097",
urn:cite:op:team4.30,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@χ[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.5611,0.2274,0.0166,0.0119",
urn:cite:op:team4.31,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@α[3],"urn:cite:hmt:vaimg.VA167RN-0338@0.5744,0.225,0.0118,0.0119",
urn:cite:op:team4.32,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ι[3],"urn:cite:hmt:vaimg.VA167RN-0338@0.5814,0.2258,0.0103,0.0119",
urn:cite:op:team4.33,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ο[5],"urn:cite:hmt:vaimg.VA167RN-0338@0.5902,0.2252,0.0103,0.0119",
urn:cite:op:team4.34,urn:cts:greekLit:tlg0012.tlg001.msA:13.151@ι[4],"urn:cite:hmt:vaimg.VA167RN-0338@0.5965,0.2252,0.0103,0.0119",
urn:cite:op:team4.100,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@π,"urn:cite:hmt:vaimg.VA167RN-0338@0.6436,0.2316,0.0124,0.0053",
urn:cite:op:team4.101,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@υ,"urn:cite:hmt:vaimg.VA167RN-0338@0.6551,0.2325,0.0063,0.004",
urn:cite:op:team4.102,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@ρ,"urn:cite:hmt:vaimg.VA167RN-0338@0.6619,0.2326,0.0045,0.0065",
urn:cite:op:team4.103,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@γ,"urn:cite:hmt:vaimg.VA167RN-0338@0.669,0.2325,0.0079,0.0057",
urn:cite:op:team4.104,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@η,"urn:cite:hmt:vaimg.VA167RN-0338@0.6762,0.2321,0.0053,0.0048",
urn:cite:op:team4.105,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@δ,"urn:cite:hmt:vaimg.VA167RN-0338@0.6825,0.2315,0.0079,0.0051",
urn:cite:op:team4.106,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@ο,"urn:cite:hmt:vaimg.VA167RN-0338@0.6899,0.2321,0.0044,0.0045",
urn:cite:op:team4.107,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@ν,"urn:cite:hmt:vaimg.VA167RN-0338@0.6951,0.2325,0.0058,0.0043",
urn:cite:op:team4.108,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@δ[2],"urn:cite:hmt:vaimg.VA167RN-0338@0.7073,0.2271,0.0115,0.0107",
urn:cite:op:team4.109,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@ι,"urn:cite:hmt:vaimg.VA167RN-0338@0.7178,0.2273,0.006,0.0107",
urn:cite:op:team4.110,urn:cts:greekLit:tlg5026.msA.hmt:13.D1@κ,"urn:cite:hmt:vaimg.VA167RN-0338@0.7257,0.2309,0.0075,0.006",
