Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:13.164r1,"urn:cite:hmt:vaimg.VA164RN-0335@0.829,0.3802,0.06,0.0195",urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAext.hmt:13.164r2,"urn:cite:hmt:vaimg.VA164RN-0335@0.836,0.5507,0.06,0.0195",urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAext.hmt:13.164v1,"urn:cite:hmt:vaimg.VA164VN-0666@0.129,0.2457,0.08,0.0308",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAext.hmt:13.164v2,"urn:cite:hmt:vaimg.VA164VN-0666@0.13,0.3757,0.063,0.0376",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAext.hmt:13.164v3,"urn:cite:hmt:vaimg.VA164VN-0666@0.121,0.5372,0.063,0.0376",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAext.hmt:13.164v4,"urn:cite:hmt:vaimg.VA164VN-0666@0.117,0.6559,0.067,0.0563",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAext.hmt:13.165r1,"urn:cite:hmt:vaimg.VA165RN-0336@0.824,0.4805,0.054,0.021",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msAext.hmt:13.165v1,"urn:cite:hmt:vaimg.VA165VN-0667@0.157,0.2539,0.068,0.0195",urn:cite:hmt:msA.165v
urn:cts:greekLit:tlg5026.msAext.hmt:13.166r1,"urn:cite:hmt:vaimg.VA166RN-0337@0.85,0.256,0.05,0.02",urn:cite:hmt:msA.166r
urn:cts:greekLit:tlg5026.msAext.hmt:13.166v1,"urn:cite:hmt:vaimg.VA166VN-0668@0.118,0.6336,0.07,0.0255",urn:cite:hmt:msA.166v
urn:cts:greekLit:tlg5026.msAext.hmt:13.168r1,"urn:cite:hmt:vaimg.VA168RN-0339@0.812,0.3341,0.052,0.0233",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAext.hmt:13.168r2,"urn:cite:hmt:vaimg.VA168RN-0339@0.814,0.6547,0.085,0.036",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAext.hmt:13.168v1,"urn:cite:hmt:vaimg.VA168VN-0670@0.145,0.238,0.058,0.024",urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg5026.msAext.hmt:13.168v2,"urn:cite:hmt:vaimg.VA168VN-0670@0.154,0.3746,0.065,0.0188",urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg5026.msAext.hmt:13.168v3,"urn:cite:hmt:vaimg.VA168VN-0670@0.166,0.4084,0.042,0.0173",urn:cite:hmt:msA.168v
