Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:13.1, "urn:cite:hmt:vaimg.VA164RN-0335@0.174,0.2147,0.044,0.0526", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAint.hmt:13.2, "urn:cite:hmt:vaimg.VA164RN-0335@0.116,0.22,0.058,0.0435", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAint.hmt:13.3, "urn:cite:hmt:vaimg.VA164RN-0335@0.119,0.3018,0.104,0.0285", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAint.hmt:13.4, "urn:cite:hmt:vaimg.VA164RN-0335@0.12,0.3363,0.072,0.0458", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAint.hmt:13.5, "urn:cite:hmt:vaimg.VA164RN-0335@0.105,0.4114,0.072,0.0511", urn:cite:hmt:msA.164r 
urn:cts:greekLit:tlg5026.msAint.hmt:13.6, "urn:cite:hmt:vaimg.VA164RN-0335@0.098,0.4917,0.084,0.0398", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAint.hmt:13.7, "urn:cite:hmt:vaimg.VA164VN-0666@0.895,0.2545,0.046,0.0405", urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAint.hmt:13.8, "urn:cite:hmt:vaimg.VA164VN-0666@0.85,0.5443,0.053,0.0203", urn:cite:hmt:msA.164v

urn:cts:greekLit:tlg5026.msAint.hmt:13.B1,"urn:cite:hmt:vaimg.VA165VN-0667@0.861,0.2517,0.056,0.024",urn:cite:hmt:msA.165v
