Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:13.165r1,"urn:cite:hmt:vaimg.VA165RN-0336@0.358,0.3378,0.027,0.0135",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msAil.hmt:13.165r2,"urn:cite:hmt:vaimg.VA165RN-0336@0.303,0.3566,0.049,0.0113",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msAil.hmt:13.165r3,"urn:cite:hmt:vaimg.VA165RN-0336@0.215,0.4459,0.021,0.0135",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msAil.hmt:13.165v1,"urn:cite:hmt:vaimg.VA165VN-0667@0.566,0.4823,0.106,0.018",urn:cite:hmt:msA.165v
urn:cts:greekLit:tlg5026.msAil.hmt:13.166v1,"urn:cite:hmt:vaimg.VA166VN-0668@0.639,0.5983,0.048,0.0113",urn:cite:hmt:msA.166v
urn:cts:greekLit:tlg5026.msAil.hmt:13.167r1,"urn:cite:hmt:vaimg.VA167RN-0338@0.396,0.3604,0.069,0.0158",urn:cite:hmt:msA.167r
urn:cts:greekLit:tlg5026.msAil.hmt:13.167v1,"urn:cite:hmt:vaimg.VA167VN-0669@0.526,0.3791,0.074,0.018",urn:cite:hmt:msA.167v
urn:cts:greekLit:tlg5026.msAil.hmt:13.168r1,"urn:cite:hmt:vaimg.VA168RN-0339@0.202,0.241,0.068,0.0135",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAil.hmt:13.168r2,"urn:cite:hmt:vaimg.VA168RN-0339@0.346,0.3198,0.068,0.0135",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAil.hmt:13.168v1,"urn:cite:hmt:vaimg.VA168VN-0670@0.513,0.3544,0.078,0.0105",urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg5026.msAil.hmt:13.168v2,"urn:cite:hmt:vaimg.VA168VN-0670@0.62,0.6374,0.034,0.0098",urn:cite:hmt:msA.168v
