Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:13.164r1, "urn:cite:hmt:vaimg.VA164RN-0335@0.589,0.3506,0.049,0.039", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAim.hmt:13.164r2, "urn:cite:hmt:vaimg.VA164RN-0335@0.588,0.3949,0.049,0.0488", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAim.hmt:13.164r3, "urn:cite:hmt:vaimg.VA164RN-0335@0.492,0.6809,0.157,0.027", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msAim.hmt:13.164v1,"urn:cite:hmt:vaimg.VA164VN-0666@0.42,0.2417,0.058,0.0218",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAim.hmt:13.164v2,"urn:cite:hmt:vaimg.VA164VN-0666@0.415,0.2635,0.067,0.0255",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAim.hmt:13.164v3,"urn:cite:hmt:vaimg.VA164VN-0666@0.416,0.2853,0.067,0.0398",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAim.hmt:13.164v4,"urn:cite:hmt:vaimg.VA164VN-0666@0.42,0.6824,0.057,0.0578",urn:cite:hmt:msA.164v
urn:cts:greekLit:tlg5026.msAim.hmt:13.165r1,"urn:cite:hmt:vaimg.VA165RN-0336@0.538,0.3784,0.106,0.024",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msAim.hmt:13.165r2,"urn:cite:hmt:vaimg.VA165RN-0336@0.57,0.5908,0.048,0.0503",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msAim.hmt:13.165v1,"urn:cite:hmt:vaimg.VA165VN-0667@0.413,0.3366,0.069,0.0376",urn:cite:hmt:msA.165v
urn:cts:greekLit:tlg5026.msAim.hmt:13.165v2,"urn:cite:hmt:vaimg.VA165VN-0667@0.416,0.3989,0.069,0.0376",urn:cite:hmt:msA.165v
urn:cts:greekLit:tlg5026.msAim.hmt:13.165v3,"urn:cite:hmt:vaimg.VA165VN-0667@0.411,0.5304,0.069,0.0376",urn:cite:hmt:msA.165v
urn:cts:greekLit:tlg5026.msAim.hmt:13.165v4,"urn:cite:hmt:vaimg.VA165VN-0667@0.418,0.592,0.069,0.0571",urn:cite:hmt:msA.165v
urn:cts:greekLit:tlg5026.msAim.hmt:13.166r1,"urn:cite:hmt:vaimg.VA166RN-0337@0.566,0.3844,0.053,0.048",urn:cite:hmt:msA.166r
urn:cts:greekLit:tlg5026.msAim.hmt:13.166r2,"urn:cite:hmt:vaimg.VA166RN-0337@0.555,0.548,0.087,0.0195",urn:cite:hmt:msA.166r
urn:cts:greekLit:tlg5026.msAim.hmt:13.167r1,"urn:cite:hmt:vaimg.VA167RN-0338@0.59,0.5083,0.063,0.021",urn:cite:hmt:msA.167r
urn:cts:greekLit:tlg5026.msAim.hmt:13.167v1,"urn:cite:hmt:vaimg.VA167VN-0669@0.414,0.229,0.071,0.03",urn:cite:hmt:msA.167v
urn:cts:greekLit:tlg5026.msAim.hmt:13.167v2,"urn:cite:hmt:vaimg.VA167VN-0669@0.412,0.2515,0.071,0.03",urn:cite:hmt:msA.167v
urn:cts:greekLit:tlg5026.msAim.hmt:13.167v3,"urn:cite:hmt:vaimg.VA167VN-0669@0.424,0.5668,0.06,0.0556",urn:cite:hmt:msA.167v
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r1,"urn:cite:hmt:vaimg.VA168RN-0339@0.598,0.208,0.067,0.0195",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r2,"urn:cite:hmt:vaimg.VA168RN-0339@0.585,0.3559,0.069,0.0293",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r3,"urn:cite:hmt:vaimg.VA168RN-0339@0.567,0.4309,0.074,0.0293",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r4,"urn:cite:hmt:vaimg.VA168RN-0339@0.58,0.5278,0.074,0.0293",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r5,"urn:cite:hmt:vaimg.VA168RN-0339@0.597,0.5796,0.08,0.0293",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r6,"urn:cite:hmt:vaimg.VA168RN-0339@0.593,0.6156,0.078,0.0293",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168r7,"urn:cite:hmt:vaimg.VA168RN-0339@0.562,0.6622,0.091,0.0345",urn:cite:hmt:msA.168r
urn:cts:greekLit:tlg5026.msAim.hmt:13.168v1,"urn:cite:hmt:vaimg.VA168VN-0670@0.447,0.3604,0.05,0.0383",urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg5026.msAim.hmt:13.168v1,"urn:cite:hmt:vaimg.VA168VN-0670@0.447,0.512,0.052,0.03",urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg5026.msAim.hmt:13.168v1,"urn:cite:hmt:vaimg.VA168VN-0670@0.439,0.6464,0.047,0.0263",urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg5026.msAim.hmt:13.169r1,"urn:cite:hmt:vaimg.VA169RN-0340@0.598,0.2147,0.074,0.0443",urn:cite:hmt:msA.169r
urn:cts:greekLit:tlg5026.msAim.hmt:13.169r2,"urn:cite:hmt:vaimg.VA169RN-0340@0.597,0.2815,0.072,0.0315",urn:cite:hmt:msA.169r
urn:cts:greekLit:tlg5026.msAim.hmt:13.169r3,"urn:cite:hmt:vaimg.VA169RN-0340@0.561,0.5631,0.091,0.0338",urn:cite:hmt:msA.169r
