Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:13.164r1, "urn:cite:hmt:vaimg.VA164RN-0335@0.1787,0.0929,0.638,0.0755", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r2, "urn:cite:hmt:vaimg.VA164RN-0335@0.1748,0.1508,0.6449,0.0273", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r3, "urn:cite:hmt:vaimg.VA164RN-0335@0.4833,0.1651,0.3301,0.0243", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r4, "urn:cite:hmt:vaimg.VA164RN-0335@0.626,0.1854,0.201,0.0533", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r5, "urn:cite:hmt:vaimg.VA164RN-0335@0.621,0.235,0.201,0.0983", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r6, "urn:cite:hmt:vaimg.VA164RN-0335@0.618,0.3198,0.213,0.098", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r7, "urn:cite:hmt:vaimg.VA164RN-0335@0.624,0.4054,0.213,0.1689", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r8, "urn:cite:hmt:vaimg.VA164RN-0335@0.631,0.5661,0.204,0.0646", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r9, "urn:cite:hmt:vaimg.VA164RN-0335@0.1729,0.6274,0.651,0.0901", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r10, "urn:cite:hmt:vaimg.VA164RN-0335@0.2339,0.699,0.3423,0.0237", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r11, "urn:cite:hmt:vaimg.VA164RN-0335@0.1771,0.7053,0.6437,0.0474", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r12, "urn:cite:hmt:vaimg.VA164RN-0335@0.2714,0.7337,0.4954,0.0245", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r13, "urn:cite:hmt:vaimg.VA164RN-0335@0.1752,0.7483,0.6647,0.0205", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r14, "urn:cite:hmt:vaimg.VA164RN-0335@0.1747,0.7593,0.6647,0.0446", urn:cite:hmt:msA.164r
urn:cts:greekLit:tlg5026.msA.hmt:13.164r15, "urn:cite:hmt:vaimg.VA164RN-0335@0.1736,0.7862,0.6668,0.0545", urn:cite:hmt:msA.164r
